loop_id	date	skill	topic	skill_score	genspark_score	gap_score	status	key_change	commit_hash
1	2026-03-29	product-comparison	ロボット掃除機 猫2匹 予算5万円	30	90	60	BASELINE	initial v1.0.0	-
2	2026-03-29	service-selection	プロジェクト管理ツール エンジニア+非エンジニア 8人	50	85	35	BASELINE	initial v1.0.0	-
3	2026-03-29	travel-planning	京都紅葉 3泊4日 カップル 予算25万円	40	90	50	BASELINE	initial v1.0.0	-
4	2026-03-29	product-comparison	空気清浄機 ペット 15畳	65	88	23	KEEP	BLUF追加・海外ブランド含む・ランニングコスト軸	v1.0.1
5	2026-03-29	service-selection	ビデオ会議ツール 5人 月2000円以内	70	87	17	KEEP	ライセンス構造確認・為替リアルタイム取得	v1.0.1
6	2026-03-29	travel-planning	沖縄家族旅行 3泊4日 3人 予算20万円	65	88	23	KEEP	予算現実チェック・子供料金確認・A/B案比較	v1.0.1
7	2026-03-30	product-comparison	ゲーミングチェア 腰痛持ち 予算5万円以内	70	87	17	KEEP	失敗パターン警告・体格フィット数値・サブタイプ分岐	v1.0.3
8	2026-03-30	service-selection	クラウドストレージ 個人+仕事兼用 月2000円以内	73	88	15	KEEP	公式価格直接フェッチ・迷い解消ツリー・弱点明示	v1.0.3
9	2026-03-30	travel-planning	北海道スキー旅行 3泊4日 カップル 予算25万円	70	89	19	KEEP	レンタル有無分岐・ツアー価格数値比較・節約代替案	v1.0.3
10	2026-03-30	product-comparison	全自動コーヒーメーカー 豆から 予算3万円以内 一人暮らし	68	94	26	BASELINE	v2.0.0初回実行（思考パターン汎用化後の新ベースライン）	9f19cb8
